"","97.bam","105.bam","113.bam","91.bam","99.bam","107.bam"
"Cluster_157",83,231,25,182,408,218
"Cluster_158",4,6,3,7,26,8
"Cluster_159",11,41,2,21,58,21
"Cluster_160",2410,19283,191,10068,8163,9696
"Cluster_161",25,49,3,30,35,56
"Cluster_162",0,7,2,10,9,10
"Cluster_163",9,17,2,18,29,28
"Cluster_164",217,881,74,615,1138,682
"Cluster_165",3,13,2,6,15,11
"Cluster_166",44,88,26,67,134,58
"Cluster_167",4,5,0,11,6,10
"Cluster_168",25,119,19,87,225,125
"Cluster_169",11,103,3,24,97,41
"Cluster_170",2,1,0,9,8,8
"Cluster_171",8,8,2,21,38,21
"Cluster_172",47,143,32,90,128,126
"Cluster_173",3,7,0,11,4,14
"Cluster_174",15,65,8,42,66,53
"Cluster_175",12,38,0,28,52,30
"Cluster_176",3,49,5,53,106,42
"Cluster_177",2,5,0,9,22,7
"Cluster_178",48,265,46,259,398,350
"Cluster_179",26,86,14,85,233,82
"Cluster_180",206,870,85,707,1694,740
"Cluster_181",20,78,7,83,131,95
"Cluster_182",260,314,68,452,557,493
"Cluster_183",3296,18880,2196,3280,608,6671
"Cluster_184",7,38,3,38,57,23
"Cluster_185",13,64,7,56,146,54
"Cluster_186",6,17,6,14,48,21
"Cluster_187",1,13,1,8,17,20
"Cluster_188",9,5,0,6,11,26
"Cluster_189",7,20,4,45,34,45
"Cluster_190",3,4,6,9,6,20
"Cluster_191",5,12,0,13,22,24
"Cluster_192",3,13,2,11,16,11
"Cluster_193",0,4,3,6,22,5
"Cluster_194",15,59,2,47,92,48
"Cluster_195",23,170,10,135,183,146
"Cluster_196",9,17,0,13,25,15
"Cluster_197",51,168,21,130,210,145
"Cluster_198",48,220,27,226,620,216
"Cluster_199",7,24,1,17,30,17
"Cluster_200",3,21,2,19,56,19
"Cluster_201",1751,1907,883,1490,1269,1829
"Cluster_202",31,138,4,114,149,115
"Cluster_203",1,7,1,6,17,12
"Cluster_204",38,78,11,110,61,128
"Cluster_205",9,29,1,15,55,14
"Cluster_206",1,6,0,1,8,8
"Cluster_207",17,133,17,126,237,158
"Cluster_208",26,70,3,52,136,68
"Cluster_209",15,27,18,29,38,53
"Cluster_210",10,11,0,13,13,12
"Cluster_211",12,10,10,9,14,15
"Cluster_212",7,10,5,8,9,8
"Cluster_213",6,16,2,21,11,24
"Cluster_214",21,56,10,61,81,88
"Cluster_215",22,76,3,44,88,57
"Cluster_216",5,18,14,18,22,54
"Cluster_217",9,34,4,27,21,28
"Cluster_218",2,20,0,18,24,18
"Cluster_219",16,129,10,104,210,135
"Cluster_220",20,46,9,64,26,77
"Cluster_221",43,113,14,118,106,156
"Cluster_222",26,53,12,61,63,88
"Cluster_223",14,57,19,64,102,73
"Cluster_224",1,6,0,5,13,5
"Cluster_225",18,78,9,62,122,85
"Cluster_226",19,50,2,74,85,66
"Cluster_227",17,63,4,46,85,42
"Cluster_228",8,18,3,16,16,27
"Cluster_229",8,12,0,8,11,15
"Cluster_230",19,28,4,44,47,63
"Cluster_231",36,150,6,79,129,86
"Cluster_232",4,14,0,8,25,8
"Cluster_233",5,4,0,6,14,8
"Cluster_234",4,2,0,9,5,9
"Cluster_235",3,6,0,12,1,9
"Cluster_236",19,12,12,40,10,35
"Cluster_237",7,42,7,23,31,26
"Cluster_238",20,41,3,34,64,44
"Cluster_239",13,54,1,31,71,42
"Cluster_240",9,12,4,14,11,11
"Cluster_241",11,35,9,37,9,42
"Cluster_242",21,166,13,115,209,139
"Cluster_243",79,419,18,266,463,293
"Cluster_244",10,15,1,13,24,14
"Cluster_245",6,22,1,26,33,34
"Cluster_246",11,26,2,25,49,23
"Cluster_247",6,11,2,7,14,24
"Cluster_248",5,9,1,11,8,11
"Cluster_249",4,16,1,15,34,25
"Cluster_250",78,236,10,165,333,164
"Cluster_251",31,84,7,70,137,61
"Cluster_252",48,185,22,120,178,140
"Cluster_253",4,38,1,25,51,24
"Cluster_254",25,89,12,72,174,122
"Cluster_255",1,19,2,12,8,11
"Cluster_256",12,43,16,28,58,45
"Cluster_257",88,250,35,159,302,215
"Cluster_258",3,20,1,16,18,13
"Cluster_259",1,2,1,10,14,6
"Cluster_260",25,103,7,68,105,87
"Cluster_261",29,11,0,9,11,38
"Cluster_262",5,11,1,14,19,18
"Cluster_263",6,14,2,8,15,19
"Cluster_264",4,37,3,21,69,27
"Cluster_265",6,44,3,53,88,46
"Cluster_266",0,10,0,3,13,7
"Cluster_267",12,58,1,39,60,57
"Cluster_268",22,22,7,26,46,40
"Cluster_269",35,96,19,105,108,113
"Cluster_270",13,20,12,53,21,49
"Cluster_271",26,32,0,18,3,30
"Cluster_272",249,1115,250,893,1170,1033
"Cluster_273",65,89,51,111,27,157
"Cluster_274",5,6,2,8,3,14
"Cluster_275",9,23,9,28,9,20
"Cluster_276",13,53,12,54,78,57
"Cluster_277",11,42,16,51,71,63
"Cluster_278",3,18,0,21,48,19
"Cluster_279",28,79,13,69,165,104
"Cluster_280",171,416,102,478,517,619
"Cluster_281",11,20,9,28,15,39
"Cluster_282",3,18,3,31,2,25
"Cluster_283",61,341,30,301,777,313
"Cluster_284",43,148,12,106,139,112
"Cluster_285",6,4,0,5,22,2
"Cluster_286",13,24,5,33,53,53
"Cluster_287",18,41,2,49,80,50
"Cluster_288",190,155,64,253,77,306
"Cluster_289",37,41,16,36,22,64
"Cluster_290",31,50,8,41,30,63
"Cluster_291",18,16,10,33,26,36
"Cluster_292",2,14,0,6,14,9
"Cluster_293",16,46,3,20,56,27
"Cluster_294",13,81,10,29,103,49
"Cluster_295",6,11,1,5,23,6
"Cluster_296",6,13,5,9,22,29
"Cluster_297",1,7,0,7,20,4
"Cluster_298",3,8,2,6,11,9
"Cluster_299",51,269,18,111,573,149
"Cluster_300",861,1914,13,0,0,1919
"Cluster_301",19,99,17,145,317,111
"Cluster_302",5,46,4,34,86,49
"Cluster_303",7,33,3,34,71,48
"Cluster_304",0,18,0,18,16,21
"Cluster_305",2,8,1,8,20,8
"Cluster_306",11,43,10,42,80,70
"Cluster_307",53,130,65,141,158,145
"Cluster_308",2,9,2,12,11,16
"Cluster_309",18,95,9,79,171,91
"Cluster_310",12,54,24,30,90,61
"Cluster_311",2,14,1,9,12,17
"Cluster_312",13,56,5,57,78,69
