"","97.bam","105.bam","113.bam","91.bam","99.bam","107.bam"
"Cluster_2795",10,20,6,33,41,55
"Cluster_2796",8485,37668,1285,14613,17193,17888
"Cluster_2797",6,40,13,37,66,51
"Cluster_2798",16,75,4,49,100,71
"Cluster_2799",5,18,6,28,36,21
"Cluster_2800",10,28,2,15,35,12
"Cluster_2801",8,53,5,46,83,39
"Cluster_2802",2,13,0,7,15,7
"Cluster_2803",17,85,12,61,135,65
"Cluster_2804",0,10,0,8,3,17
"Cluster_2805",1,6,1,18,6,9
"Cluster_2806",20,0,13,6,0,14
"Cluster_2807",28,146,28,159,194,167
"Cluster_2808",5,5,0,8,12,9
"Cluster_2809",20,28,11,38,24,59
"Cluster_2810",66,285,26,220,484,306
"Cluster_2811",17,47,2,57,83,53
"Cluster_2812",7,22,3,22,39,27
"Cluster_2813",16,38,3,32,48,47
"Cluster_2814",7,37,5,25,42,28
"Cluster_2815",1,10,4,4,13,8
"Cluster_2816",7,37,1,23,39,23
"Cluster_2817",3,42,5,33,55,24
"Cluster_2818",6,20,0,23,13,21
"Cluster_2819",7137,30024,1443,19164,28401,20646
"Cluster_2820",0,6,1,11,4,9
"Cluster_2821",3,13,5,15,15,15
"Cluster_2822",0,13,1,9,8,9
"Cluster_2823",193,529,82,406,589,453
"Cluster_2824",11,26,3,27,7,45
"Cluster_2825",5,22,1,19,16,32
"Cluster_2826",16,66,11,52,54,56
"Cluster_2827",2,49,2,20,10,9
"Cluster_2828",5,6,0,11,16,7
"Cluster_2829",11,40,5,36,73,41
"Cluster_2830",19,66,6,46,104,52
"Cluster_2831",4,3,0,8,15,2
"Cluster_2832",20,85,4,70,159,85
"Cluster_2833",9,16,2,18,34,17
"Cluster_2834",3,12,0,10,15,10
"Cluster_2835",8,9,3,23,7,19
"Cluster_2836",33,91,16,120,103,140
"Cluster_2837",3,16,2,19,24,39
"Cluster_2838",3,8,1,12,13,21
"Cluster_2839",30,93,9,102,156,81
"Cluster_2840",1,6,0,5,13,8
"Cluster_2841",91,257,22,306,514,305
"Cluster_2842",1,3,1,2,13,12
"Cluster_2843",4,16,0,9,12,11
"Cluster_2844",0,9,0,12,12,20
"Cluster_2845",84,77,16,33,40,37
"Cluster_2846",34,61,24,61,113,65
"Cluster_2847",4,28,0,12,43,26
"Cluster_2848",2,12,1,17,7,8
"Cluster_2849",12,68,1,30,76,41
"Cluster_2850",29,98,2,47,137,49
"Cluster_2851",2,18,0,19,34,7
"Cluster_2852",23,140,17,100,84,139
"Cluster_2853",4,16,13,20,15,10
"Cluster_2854",1,7,0,7,7,6
"Cluster_2855",2,16,1,14,22,6
"Cluster_2856",9,6,0,22,66,22
"Cluster_2857",3,5,0,6,14,2
"Cluster_2858",1,13,0,6,9,7
"Cluster_2859",26,104,15,75,156,108
"Cluster_2860",81,385,36,287,646,339
"Cluster_2861",371,871,259,534,465,640
"Cluster_2862",1876,16720,687,10876,21639,11990
"Cluster_2863",7,57,4,64,127,63
"Cluster_2864",3,12,2,23,28,15
"Cluster_2865",12,54,12,53,163,64
"Cluster_2866",117,373,31,316,516,296
"Cluster_2867",26,122,13,100,173,96
"Cluster_2868",8,37,0,11,31,15
"Cluster_2869",73,198,14,222,316,223
"Cluster_2870",106,388,27,211,445,254
"Cluster_2871",91,375,27,326,583,401
"Cluster_2872",151,224,39,184,163,199
"Cluster_2873",6,18,5,32,36,38
"Cluster_2874",1,8,2,12,2,11
"Cluster_2875",433,978,180,1356,3572,1600
"Cluster_2876",27,49,26,62,83,82
"Cluster_2877",1,6,0,7,9,32
"Cluster_2878",32,71,6,27,13,31
"Cluster_2879",18,26,0,10,12,18
"Cluster_2880",16,40,3,16,9,13
"Cluster_2881",2,25,0,24,56,20
"Cluster_2882",11,44,3,42,94,37
"Cluster_2883",17,52,7,42,82,41
"Cluster_2884",45,208,14,182,308,216
"Cluster_2885",1,7,2,13,18,18
"Cluster_2886",4,6,1,10,5,12
"Cluster_2887",1,6,0,12,8,19
"Cluster_2888",0,10,0,9,17,13
"Cluster_2889",8,14,6,34,8,56
"Cluster_2890",5,15,0,2,40,10
"Cluster_2891",14,38,5,34,101,49
"Cluster_2892",2,17,1,12,32,15
"Cluster_2893",2,13,4,9,4,13
"Cluster_2894",167,1192,131,1090,2203,1336
"Cluster_2895",22,77,15,96,152,95
"Cluster_2896",26,53,9,60,42,60
"Cluster_2897",41,94,44,101,112,97
"Cluster_2898",36,93,22,117,92,163
"Cluster_2899",11,62,5,75,149,74
"Cluster_2900",4,24,6,19,25,29
"Cluster_2901",12,55,6,42,67,36
"Cluster_2902",0,5,0,9,12,9
"Cluster_2903",2,2,1,6,17,6
"Cluster_2904",5,13,0,10,36,16
"Cluster_2905",2,13,4,8,6,23
"Cluster_2906",37,84,15,102,28,150
"Cluster_2907",149,674,76,480,700,546
"Cluster_2908",4,12,3,11,24,13
"Cluster_2909",72,272,33,261,488,261
"Cluster_2910",123,444,53,377,622,337
"Cluster_2911",11,69,17,84,133,84
"Cluster_2912",59,123,34,184,141,260
"Cluster_2913",2,12,2,9,21,8
"Cluster_2914",0,9,0,7,17,11
"Cluster_2915",12,23,6,29,14,62
"Cluster_2916",5,9,1,12,2,14
"Cluster_2917",36,139,14,64,113,95
"Cluster_2918",7,29,0,16,31,23
"Cluster_2919",14,55,3,30,74,32
"Cluster_2920",7,56,0,32,66,32
"Cluster_2921",7,33,4,17,60,29
"Cluster_2922",2,6,3,4,13,7
"Cluster_2923",4,31,3,25,33,28
"Cluster_2924",7,51,3,26,65,42
"Cluster_2925",5,10,0,17,19,10
"Cluster_2926",839,1784,190,1266,901,1648
"Cluster_2927",18,83,14,76,117,99
"Cluster_2928",60,100,12,93,117,117
"Cluster_2929",0,8,1,7,13,13
"Cluster_2930",2,8,0,5,18,14
"Cluster_2931",8,17,3,10,12,9
"Cluster_2932",6,10,0,13,19,26
"Cluster_2933",8,27,2,41,84,45
"Cluster_2934",3,2,0,10,5,12
"Cluster_2935",5,4,2,7,18,6
"Cluster_2936",45,23,9,62,21,67
"Cluster_2937",43,147,22,121,490,156
"Cluster_2938",173,373,61,455,292,526
"Cluster_2939",28,87,7,84,92,84
"Cluster_2940",20,37,4,41,85,44
"Cluster_2941",9,27,2,17,43,19
"Cluster_2942",8,0,0,7,16,19
"Cluster_2943",6,14,3,15,23,12
"Cluster_2944",6,17,4,16,65,20
"Cluster_2945",3905,4036,1732,8636,4072,11978
"Cluster_2946",126,376,59,372,596,429
"Cluster_2947",0,7,5,10,3,16
"Cluster_2948",1,64,13,40,0,47
"Cluster_2949",8,17,0,18,56,29
"Cluster_2950",21,67,5,55,102,39
"Cluster_2951",14,42,3,37,39,46
"Cluster_2952",12,75,3,40,84,50
"Cluster_2953",9,44,5,41,34,28
"Cluster_2954",2,9,0,10,10,7
"Cluster_2955",8,10,0,10,28,11
"Cluster_2956",8,18,4,13,9,23
"Cluster_2957",17,61,5,42,53,54
"Cluster_2958",5,14,0,7,23,7
"Cluster_2959",37,126,18,105,92,130
"Cluster_2960",8,43,4,18,41,34
"Cluster_2961",30,60,9,37,41,69
"Cluster_2962",8,26,2,16,21,36
"Cluster_2963",11,32,4,35,65,39
"Cluster_2964",3925,9857,2172,7099,5634,9585
"Cluster_2965",11,23,2,19,34,32
"Cluster_2966",3,28,6,17,10,12
"Cluster_2967",1,18,1,9,17,13
"Cluster_2968",5,15,1,15,19,6
"Cluster_2969",3,6,0,8,11,8
"Cluster_2970",57,134,31,111,123,179
"Cluster_2971",1382,3703,1000,2326,952,4061
"Cluster_2972",4,10,2,3,13,6
"Cluster_2973",34,140,19,102,209,112
"Cluster_2974",4,2,0,11,4,15
"Cluster_2975",0,2,0,12,7,12
"Cluster_2976",3,0,3,13,7,5
"Cluster_2977",51,28,31,23,4,65
"Cluster_2978",363,1342,144,1581,2506,1761
"Cluster_2979",72,280,29,175,300,176
"Cluster_2980",14,54,2,25,45,20
"Cluster_2981",13,36,2,36,28,43
"Cluster_2982",35,204,20,144,233,174
"Cluster_2983",17,128,9,81,191,72
"Cluster_2984",20,95,11,74,185,117
"Cluster_2985",7,28,4,31,23,54
"Cluster_2986",1,14,1,9,16,11
"Cluster_2987",104,237,45,274,183,351
"Cluster_2988",2,3,1,13,17,4
"Cluster_2989",2,19,0,10,13,6
"Cluster_2990",117,172,122,422,142,518
"Cluster_2991",27,141,19,88,173,102
"Cluster_2992",1,6,0,7,15,8
"Cluster_2993",12,25,4,18,20,22
"Cluster_2994",16,94,3,54,129,62
"Cluster_2995",126,635,72,580,1298,698
"Cluster_2996",3,15,0,11,8,15
"Cluster_2997",13,111,7,68,87,94
"Cluster_2998",105,575,41,362,790,478
"Cluster_2999",6,32,1,21,53,27
"Cluster_3000",86,543,38,335,852,400
"Cluster_3001",3,12,1,16,19,10
"Cluster_3002",298,1135,122,935,1961,1078
"Cluster_3003",1,6,1,6,12,3
"Cluster_3004",5,31,2,15,24,22
"Cluster_3005",0,12,0,13,22,9
"Cluster_3006",13,11,1,38,25,26
"Cluster_3007",45,163,8,101,326,150
"Cluster_3008",1,23,2,19,22,17
"Cluster_3009",8,46,5,42,98,33
"Cluster_3010",8,45,5,33,38,37
"Cluster_3011",3,15,3,18,21,9
"Cluster_3012",297,673,119,747,1589,895
"Cluster_3013",10,12,2,17,2,10
"Cluster_3014",48,249,32,171,321,237
"Cluster_3015",21,100,8,86,142,101
"Cluster_3016",33,115,13,91,206,137
"Cluster_3017",39,191,15,142,199,126
"Cluster_3018",9,26,0,23,69,37
"Cluster_3019",4,10,1,6,17,8
"Cluster_3020",2,4,0,4,11,8
"Cluster_3021",1,5,1,7,9,5
"Cluster_3022",67,570,44,482,761,496
"Cluster_3023",1,7,1,5,20,4
"Cluster_3024",8,35,0,26,33,21
"Cluster_3025",7,28,4,36,68,34
"Cluster_3026",9,33,4,25,60,31
"Cluster_3027",10,27,3,32,86,37
"Cluster_3028",11,25,4,22,64,24
"Cluster_3029",115,606,48,454,978,488
"Cluster_3030",28,134,10,108,151,131
"Cluster_3031",0,2,0,1,16,4
"Cluster_3032",51,206,19,137,311,133
"Cluster_3033",38,93,32,88,85,133
"Cluster_3034",22,10,2,13,3,19
"Cluster_3035",22,54,6,67,62,63
"Cluster_3036",7,7,2,17,28,19
"Cluster_3037",4,24,6,19,52,49
"Cluster_3038",56,161,20,127,315,135
"Cluster_3039",19,99,6,57,177,94
"Cluster_3040",84,285,43,315,679,348
"Cluster_3041",37,177,14,131,212,148
"Cluster_3042",11,32,3,27,70,35
"Cluster_3043",3,11,1,5,16,8
"Cluster_3044",16,41,4,28,65,40
"Cluster_3045",109,224,53,286,148,307
"Cluster_3046",12,13,3,16,7,27
"Cluster_3047",5,4,5,9,15,10
"Cluster_3048",0,7,2,11,12,8
"Cluster_3049",3,6,1,8,10,8
"Cluster_3050",2,7,1,19,12,10
"Cluster_3051",7,15,1,7,40,12
"Cluster_3052",3,13,4,9,12,12
"Cluster_3053",10,19,2,15,24,17
"Cluster_3054",8,7,3,7,8,12
"Cluster_3055",4,3,0,10,7,9
"Cluster_3056",12,18,1,11,32,13
"Cluster_3057",8,63,0,35,55,48
"Cluster_3058",3,23,2,10,27,16
"Cluster_3059",2,9,0,7,9,12
"Cluster_3060",4,19,0,6,10,9
"Cluster_3061",19,27,14,31,32,63
"Cluster_3062",115,388,32,375,311,435
"Cluster_3063",368,1197,261,2385,2206,2515
"Cluster_3064",3,13,5,14,10,18
"Cluster_3065",1,18,0,9,18,5
"Cluster_3066",5,66,2,21,61,25
"Cluster_3067",5,52,2,19,58,37
"Cluster_3068",8,22,5,13,36,27
"Cluster_3069",3,3,0,2,13,8
"Cluster_3070",6,8,3,5,9,16
"Cluster_3071",2,8,2,8,14,4
"Cluster_3072",10,54,1,55,141,45
"Cluster_3073",58,195,28,200,400,210
"Cluster_3074",10,46,17,55,28,61
"Cluster_3075",0,1,5,6,7,9
"Cluster_3076",3,4,0,5,10,12
"Cluster_3077",39,99,8,108,198,135
"Cluster_3078",0,3,0,11,5,6
"Cluster_3079",17,41,12,48,73,29
"Cluster_3080",16,49,10,47,48,66
"Cluster_3081",43,138,35,61,91,85
"Cluster_3082",10,36,1,26,43,38
"Cluster_3083",11,11,6,11,13,19
"Cluster_3084",0,7,0,11,11,11
"Cluster_3085",94,269,32,273,392,216
"Cluster_3086",3,10,3,18,18,14
"Cluster_3087",19,70,10,56,111,74
"Cluster_3088",7,44,2,31,51,36
"Cluster_3089",4,13,2,1,17,6
"Cluster_3090",3,6,0,3,13,16
"Cluster_3091",8,30,20,19,14,40
"Cluster_3092",14,78,9,66,133,88
"Cluster_3093",9,34,1,31,49,41
"Cluster_3094",14,106,18,101,132,92
"Cluster_3095",0,10,1,15,8,13
"Cluster_3096",11,21,0,14,24,19
"Cluster_3097",66,260,19,179,429,239
"Cluster_3098",26,56,8,105,56,117
"Cluster_3099",9,32,3,34,47,37
"Cluster_3100",7,33,1,30,37,23
"Cluster_3101",19,85,11,80,127,82
"Cluster_3102",11,54,1,31,83,51
"Cluster_3103",4,10,1,10,13,15
"Cluster_3104",86,501,35,247,712,298
"Cluster_3105",83,338,39,271,534,310
"Cluster_3106",6,77,7,74,117,95
"Cluster_3107",3,8,0,13,30,10
"Cluster_3108",5,6,2,8,7,16
"Cluster_3109",7,10,3,13,10,7
"Cluster_3110",7,17,1,11,23,8
"Cluster_3111",3,40,0,23,44,36
"Cluster_3112",363,1408,174,950,2497,1100
"Cluster_3113",10,24,1,26,78,21
"Cluster_3114",3,12,0,7,19,7
"Cluster_3115",5,12,1,9,18,17
"Cluster_3116",22,72,5,33,97,35
"Cluster_3117",22,59,5,55,110,61
"Cluster_3118",13,61,6,50,89,82
"Cluster_3119",2647,4109,1705,7663,3707,7938
"Cluster_3120",7,52,5,41,70,41
"Cluster_3121",6,54,4,48,75,36
"Cluster_3122",31,100,5,89,200,100
"Cluster_3123",1,21,1,26,23,28
"Cluster_3124",19,22,12,22,26,48
"Cluster_3125",55,253,30,226,483,220
"Cluster_3126",0,5,2,4,15,7
"Cluster_3127",3,68,4,39,113,52
"Cluster_3128",3,10,0,5,19,11
"Cluster_3129",14,23,6,30,17,41
"Cluster_3130",3,9,2,8,9,11
"Cluster_3131",2,13,0,6,11,8
"Cluster_3132",7,22,4,15,35,33
"Cluster_3133",9,66,7,43,53,83
"Cluster_3134",4,10,3,6,25,12
"Cluster_3135",18,67,9,70,74,78
"Cluster_3136",0,8,0,6,12,6
"Cluster_3137",1,10,0,7,20,7
"Cluster_3138",28,133,10,133,292,149
"Cluster_3139",30,45,10,81,103,96
"Cluster_3140",14,76,12,61,131,58
"Cluster_3141",5,20,2,25,40,21
"Cluster_3142",25,91,10,65,111,89
"Cluster_3143",254,721,102,987,893,1071
"Cluster_3144",11,26,3,11,26,25
"Cluster_3145",3,5,0,13,26,12
"Cluster_3146",8,46,8,34,87,37
"Cluster_3147",8,16,8,16,7,33
"Cluster_3148",57,262,34,191,313,233
"Cluster_3149",7,20,0,5,19,8
"Cluster_3150",44,134,14,128,121,169
"Cluster_3151",6,13,1,8,20,15
"Cluster_3152",7,25,1,19,12,24
"Cluster_3153",3010,4438,1566,7631,7779,5697
"Cluster_3154",6,14,0,14,30,25
"Cluster_3155",5,21,2,13,44,20
"Cluster_3156",14,33,3,27,67,35
"Cluster_3157",5171,9404,2290,10967,24350,9924
"Cluster_3158",2,7,0,6,7,11
"Cluster_3159",18,70,10,23,13,32
"Cluster_3160",2,8,3,17,6,17
"Cluster_3161",15,44,8,44,50,50
"Cluster_3162",6,14,3,12,35,21
"Cluster_3163",3,6,0,14,13,10
"Cluster_3164",39,150,8,111,206,97
"Cluster_3165",16,52,7,41,103,56
"Cluster_3166",1,7,0,4,16,6
"Cluster_3167",3,12,1,14,24,21
"Cluster_3168",4,12,1,9,34,12
"Cluster_3169",3,8,0,7,15,5
"Cluster_3170",6,38,5,26,43,22
"Cluster_3171",12,80,6,40,69,36
"Cluster_3172",15,34,6,36,13,58
"Cluster_3173",32,160,20,131,219,135
"Cluster_3174",9,42,20,40,34,64
"Cluster_3175",43,101,24,108,157,115
"Cluster_3176",3,15,1,7,9,14
"Cluster_3177",10,28,0,26,46,33
"Cluster_3178",90,292,35,294,432,334
"Cluster_3179",11,14,1,23,43,21
"Cluster_3180",5,14,1,6,15,9
"Cluster_3181",32,115,6,122,199,105
"Cluster_3182",7,37,15,23,67,28
"Cluster_3183",1,11,1,12,24,15
"Cluster_3184",9,27,6,26,56,21
"Cluster_3185",8,29,5,16,39,21
"Cluster_3186",5,16,0,11,24,19
"Cluster_3187",5,17,0,18,36,13
"Cluster_3188",1,7,0,16,12,7
"Cluster_3189",7,14,5,12,14,21
"Cluster_3190",5,20,1,8,5,16
"Cluster_3191",18,32,3,22,7,27
"Cluster_3192",110,175,38,234,161,272
"Cluster_3193",339,681,193,521,655,773
"Cluster_3194",7,20,3,20,51,31
"Cluster_3195",322,668,152,809,832,931
"Cluster_3196",61,322,36,392,710,472
"Cluster_3197",5,30,8,34,55,47
"Cluster_3198",160,994,91,636,1340,757
"Cluster_3199",1766,3845,412,3514,3357,4317
"Cluster_3200",66,313,24,318,389,384
"Cluster_3201",2,10,0,11,25,19
"Cluster_3202",30,118,18,75,148,93
"Cluster_3203",50,162,18,119,203,133
"Cluster_3204",16,46,5,26,50,23
"Cluster_3205",77,221,33,241,281,235
"Cluster_3206",23,65,6,77,94,66
"Cluster_3207",30,121,22,138,280,150
"Cluster_3208",27,187,17,145,299,143
"Cluster_3209",16,13,6,26,16,41
"Cluster_3210",3,16,1,10,17,18
"Cluster_3211",1,8,5,9,8,16
"Cluster_3212",23,85,3,48,118,77
"Cluster_3213",6,34,1,38,51,29
"Cluster_3214",24,43,2,33,80,36
"Cluster_3215",8,10,4,18,10,10
"Cluster_3216",21,74,11,77,152,105
"Cluster_3217",18,33,4,29,33,43
"Cluster_3218",9,80,4,48,152,65
"Cluster_3219",8,20,3,14,14,13
"Cluster_3220",12,26,7,26,26,26
"Cluster_3221",3,26,3,20,17,17
"Cluster_3222",21,34,3,16,12,25
"Cluster_3223",13,16,36,26,4,43
"Cluster_3224",186,427,41,267,397,303
"Cluster_3225",7,29,2,50,38,49
"Cluster_3226",12,102,7,131,163,132
"Cluster_3227",0,8,0,6,17,10
"Cluster_3228",9,26,2,23,58,28
"Cluster_3229",17,16,7,6,18,22
"Cluster_3230",14,40,4,32,32,44
"Cluster_3231",1,13,0,6,17,13
"Cluster_3232",2,5,0,3,8,9
"Cluster_3233",2,11,0,6,14,10
"Cluster_3234",2,6,2,6,8,8
"Cluster_3235",4,11,0,11,35,11
"Cluster_3236",1,4,2,11,11,14
"Cluster_3237",225,482,1,332,0,459
"Cluster_3238",54,58,1,35,14,41
"Cluster_3239",112,350,54,164,15,184
"Cluster_3240",88,361,48,268,406,309
"Cluster_3241",79,260,30,263,496,294
"Cluster_3242",6,14,3,16,2,24
"Cluster_3243",26,82,34,107,38,159
"Cluster_3244",13,25,8,36,33,41
"Cluster_3245",2,13,0,10,12,7
"Cluster_3246",15,11,6,42,10,60
"Cluster_3247",11,42,9,52,30,56
"Cluster_3248",2,5,1,7,4,20
"Cluster_3249",3,2,3,9,4,14
"Cluster_3250",16,10,2,41,34,34
"Cluster_3251",0,8,1,8,6,8
"Cluster_3252",3,11,4,9,17,16
"Cluster_3253",1,6,4,7,10,11
"Cluster_3254",3,12,0,13,16,8
"Cluster_3255",97,391,49,365,852,474
"Cluster_3256",10,57,9,58,78,73
"Cluster_3257",7,35,7,35,38,23
"Cluster_3258",3,7,8,11,5,7
"Cluster_3259",3,6,0,5,14,4
"Cluster_3260",8,29,2,9,66,32
"Cluster_3261",4,8,0,4,24,6
"Cluster_3262",2,5,0,17,2,9
"Cluster_3263",1,6,1,6,1,15
"Cluster_3264",11,3,27,12,5,25
"Cluster_3265",1132,4703,343,1482,3872,1761
"Cluster_3266",1148,5295,212,1763,4354,1982
"Cluster_3267",3,6,0,12,16,9
"Cluster_3268",10,13,1,23,44,28
"Cluster_3269",1,11,6,17,11,11
"Cluster_3270",7,9,1,13,18,17
"Cluster_3271",0,4,3,8,2,18
"Cluster_3272",1,7,0,9,9,8
"Cluster_3273",1,2,1,9,11,7
"Cluster_3274",10,47,5,41,80,39
"Cluster_3275",21,49,3,53,74,68
"Cluster_3276",9,62,7,54,109,61
"Cluster_3277",6,52,6,50,69,58
"Cluster_3278",12,6,0,9,23,13
"Cluster_3279",9,22,5,30,26,24
"Cluster_3280",2,5,0,4,18,3
"Cluster_3281",7,34,1,35,87,29
"Cluster_3282",12,115,3,64,138,72
"Cluster_3283",2,23,0,5,26,6
"Cluster_3284",4,16,1,7,33,12
"Cluster_3285",16,30,6,24,61,25
"Cluster_3286",9,37,4,28,77,40
"Cluster_3287",13,28,0,15,51,20
"Cluster_3288",7,10,0,8,11,13
"Cluster_3289",76,316,30,256,379,305
"Cluster_3290",1,3,2,10,12,13
"Cluster_3291",8,31,8,29,39,35
"Cluster_3292",44,171,13,181,226,183
"Cluster_3293",45,56,6,71,141,75
"Cluster_3294",10,24,2,34,54,24
"Cluster_3295",3,17,2,13,13,25
"Cluster_3296",74,334,44,223,628,291
"Cluster_3297",4,9,0,11,8,5
"Cluster_3298",65,158,22,160,229,189
"Cluster_3299",0,3,0,5,21,8
"Cluster_3300",61,66,36,81,127,111
"Cluster_3301",8,28,6,36,74,42
"Cluster_3302",15,132,28,53,49,69
"Cluster_3303",96,466,45,370,840,362
"Cluster_3304",1,10,0,7,13,10
"Cluster_3305",23,146,14,88,205,86
"Cluster_3306",5,17,3,17,18,15
"Cluster_3307",23,70,18,74,102,95
"Cluster_3308",2,12,0,17,28,15
"Cluster_3309",2,5,0,6,13,6
"Cluster_3310",3,12,2,4,29,10
"Cluster_3311",17,81,16,63,103,68
"Cluster_3312",1,5,6,10,2,10
"Cluster_3313",36,126,14,241,206,267
"Cluster_3314",21,63,10,108,161,113
"Cluster_3315",11,79,5,39,69,52
"Cluster_3316",4,19,3,18,22,21
"Cluster_3317",3,23,1,9,42,16
"Cluster_3318",3454,3859,508,2643,2364,2995
"Cluster_3319",60,159,29,143,294,148
"Cluster_3320",96,431,65,407,587,479
"Cluster_3321",9,5,2,10,5,9
"Cluster_3322",35,51,2,43,10,36
"Cluster_3323",8,23,1,26,32,34
"Cluster_3324",53,148,11,148,294,194
"Cluster_3325",3444,8960,808,7462,7441,8214
"Cluster_3326",139,467,36,308,464,330
"Cluster_3327",10,11,4,17,19,20
"Cluster_3328",2,9,5,9,11,11
"Cluster_3329",74,294,92,204,240,270
"Cluster_3330",32,60,7,43,18,62
"Cluster_3331",4,23,2,16,28,23
"Cluster_3332",2,25,6,16,36,19
"Cluster_3333",4,18,0,10,25,6
"Cluster_3334",34,134,8,124,327,145
"Cluster_3335",12,51,3,39,51,34
"Cluster_3336",63,245,33,228,426,230
"Cluster_3337",42,137,19,127,321,153
"Cluster_3338",5,6,0,7,12,10
"Cluster_3339",5,9,0,11,14,9
"Cluster_3340",5,15,1,14,55,19
"Cluster_3341",13,34,5,25,71,34
"Cluster_3342",109,439,79,342,702,452
"Cluster_3343",584,3677,469,2623,5924,3101
"Cluster_3344",5,20,3,20,25,24
"Cluster_3345",36,53,13,50,65,71
"Cluster_3346",21,121,7,104,188,102
"Cluster_3347",84,336,13,585,481,552
"Cluster_3348",4,11,0,21,32,14
"Cluster_3349",3,4,0,6,16,7
"Cluster_3350",4,9,0,7,19,9
"Cluster_3351",4,8,3,10,8,17
"Cluster_3352",1683,8276,350,10336,8687,6916
"Cluster_3353",261,1641,100,1080,2751,1192
"Cluster_3354",13,76,9,68,77,81
"Cluster_3355",80,154,15,118,248,150
"Cluster_3356",15,26,3,18,25,24
"Cluster_3357",4,4,1,8,13,7
"Cluster_3358",7,25,5,26,59,29
"Cluster_3359",14,12,6,29,8,37
"Cluster_3360",2,7,2,8,12,10
"Cluster_3361",77,200,29,230,272,305
"Cluster_3362",22,88,9,70,128,96
"Cluster_3363",13,102,12,74,118,88
"Cluster_3364",15,26,1,36,48,42
"Cluster_3365",34,80,3,21,85,80
"Cluster_3366",15,51,11,60,76,52
"Cluster_3367",28,141,18,149,250,131
"Cluster_3368",14,15,1,13,16,11
"Cluster_3369",1,5,0,8,12,8
"Cluster_3370",12,76,22,87,107,83
"Cluster_3371",8,56,8,39,98,35
"Cluster_3372",7,4,0,17,21,18
"Cluster_3373",2,9,1,11,5,13
"Cluster_3374",23,99,12,68,93,82
"Cluster_3375",30,67,7,51,28,73
"Cluster_3376",22,95,18,109,115,110
"Cluster_3377",7,8,5,15,1,18
"Cluster_3378",7,20,8,30,3,38
"Cluster_3379",4,8,9,15,5,4
"Cluster_3380",12,664,179,33,24,270
"Cluster_3381",4,35,4,26,53,36
"Cluster_3382",1,12,0,5,9,12
"Cluster_3383",7,14,0,13,21,17
"Cluster_3384",0,3,0,7,10,11
"Cluster_3385",2,8,4,14,15,12
"Cluster_3386",40,183,12,108,217,136
"Cluster_3387",11,79,5,43,67,61
"Cluster_3388",1,17,1,7,15,9
"Cluster_3389",2,10,2,8,24,13
"Cluster_3390",13,101,11,57,123,59
"Cluster_3391",9,50,3,45,45,30
"Cluster_3392",8,15,2,16,38,20
"Cluster_3393",5,29,7,36,23,26
"Cluster_3394",11,13,3,21,9,28
"Cluster_3395",95,126,7,20,226,34
"Cluster_3396",34,28,0,3,47,1
"Cluster_3397",3,15,0,13,21,8
"Cluster_3398",1,7,2,8,16,10
"Cluster_3399",10,15,3,16,45,55
"Cluster_3400",6,22,12,15,22,17
"Cluster_3401",8,21,6,29,36,33
"Cluster_3402",8,43,6,62,102,50
"Cluster_3403",0,4,0,6,13,9
"Cluster_3404",4,3,0,3,11,10
"Cluster_3405",5,10,2,15,19,12
"Cluster_3406",2,8,1,10,5,13
"Cluster_3407",45,162,34,147,193,150
"Cluster_3408",59,209,13,150,232,182
"Cluster_3409",22,67,5,62,111,66
"Cluster_3410",47,183,16,145,309,217
"Cluster_3411",1,7,1,8,22,12
"Cluster_3412",1,15,3,11,18,15
"Cluster_3413",2,7,0,9,5,10
"Cluster_3414",2,21,2,15,22,24
"Cluster_3415",11,65,3,35,63,46
"Cluster_3416",42,242,11,159,340,164
"Cluster_3417",23,86,12,145,207,106
"Cluster_3418",4,17,2,15,4,13
"Cluster_3419",4,12,0,7,25,15
"Cluster_3420",8,29,5,20,34,32
"Cluster_3421",3,16,3,17,29,16
"Cluster_3422",29,79,10,62,68,88
"Cluster_3423",283,1663,142,861,2382,1027
"Cluster_3424",3,8,1,7,12,4
"Cluster_3425",7,29,3,26,33,28
"Cluster_3426",31,133,15,118,233,132
"Cluster_3427",0,15,0,9,21,10
"Cluster_3428",2,8,0,7,19,4
"Cluster_3429",8,55,0,40,75,39
"Cluster_3430",45,95,40,173,56,225
"Cluster_3431",5,12,2,14,19,12
"Cluster_3432",9,52,10,54,27,82
"Cluster_3433",20,47,14,67,62,77
"Cluster_3434",193,601,71,524,876,568
"Cluster_3435",15,8,0,23,27,21
"Cluster_3436",6,15,1,18,17,14
"Cluster_3437",1,10,0,9,13,11
"Cluster_3438",25,19,5,10,47,20
"Cluster_3439",16,25,9,22,39,32
"Cluster_3440",12,22,7,28,68,27
"Cluster_3441",13,50,0,22,57,46
"Cluster_3442",69,135,117,122,103,155
"Cluster_3443",92,291,19,259,378,298
"Cluster_3444",11,48,1,43,50,41
"Cluster_3445",41,177,22,123,306,138
"Cluster_3446",7,35,7,21,41,36
"Cluster_3447",24,103,15,85,141,75
"Cluster_3448",3,13,3,15,33,9
"Cluster_3449",43,158,17,112,274,165
"Cluster_3450",31,123,24,156,297,190
"Cluster_3451",7,13,2,17,24,15
"Cluster_3452",68,231,35,145,149,176
"Cluster_3453",24,71,8,76,102,92
