"","97.bam","105.bam","113.bam","93.bam","101.bam","109.bam"
"Cluster_157",7,10,3,3,21,3
"Cluster_158",4,24,0,9,13,4
"Cluster_159",71,161,58,113,286,82
"Cluster_160",2,30,0,0,5,0
"Cluster_161",6,27,5,11,30,10
"Cluster_162",12,52,5,14,41,16
"Cluster_163",3,16,3,4,19,3
"Cluster_164",1,15,0,9,7,1
"Cluster_165",3,11,1,7,25,8
"Cluster_166",4,44,5,13,29,9
"Cluster_167",13,11,0,8,27,7
"Cluster_168",10,7,0,12,11,4
"Cluster_169",12,53,2,39,70,29
"Cluster_170",10,75,3,62,99,38
"Cluster_171",52,74,15,39,100,29
"Cluster_172",2,17,2,8,22,9
"Cluster_173",8,16,6,18,33,7
"Cluster_174",3,16,0,11,24,5
"Cluster_175",5,18,1,10,24,10
"Cluster_176",2414,19283,191,14162,45703,17554
"Cluster_177",21,41,3,1,22,9
"Cluster_178",218,882,74,580,1111,424
"Cluster_179",3,12,2,7,25,7
"Cluster_180",44,88,26,90,100,50
"Cluster_181",25,116,19,62,191,50
"Cluster_182",8,67,2,47,84,30
"Cluster_183",3,36,1,24,26,16
"Cluster_184",5,24,0,11,18,9
"Cluster_185",40,138,30,110,196,94
"Cluster_186",5,23,7,19,41,13
"Cluster_187",3,23,0,16,21,7
"Cluster_188",3,17,1,14,31,11
"Cluster_189",13,38,0,31,77,18
"Cluster_190",3,49,5,31,62,26
"Cluster_191",47,264,46,78,158,68
"Cluster_192",7,7,1,4,10,6
"Cluster_193",227,951,98,424,582,289
"Cluster_194",19,68,7,52,73,33
"Cluster_195",229,271,65,139,374,83
"Cluster_196",31,38,3,17,11,5
"Cluster_197",23,5,0,0,0,6
"Cluster_198",3295,18882,2196,10618,76311,32749
"Cluster_199",4,28,2,22,19,8
"Cluster_200",13,62,7,38,117,20
"Cluster_201",7,21,6,9,12,1
"Cluster_202",10,5,0,5,1,4
"Cluster_203",7,19,4,56,59,25
"Cluster_204",8,10,2,8,14,4
"Cluster_205",2,15,0,6,3,2
"Cluster_206",23,162,9,95,129,55
"Cluster_207",8,12,1,7,10,13
"Cluster_208",32,80,11,45,70,28
"Cluster_209",7,28,5,9,31,10
"Cluster_210",6,29,4,13,26,10
"Cluster_211",6,19,1,4,11,6
"Cluster_212",48,220,27,78,100,40
"Cluster_213",7,24,1,13,10,14
"Cluster_214",1752,1909,883,1575,5898,1749
"Cluster_215",28,128,4,90,118,54
"Cluster_216",16,21,3,13,24,14
"Cluster_217",14,40,4,16,16,10
"Cluster_218",9,19,4,8,5,17
"Cluster_219",6,22,1,6,7,4
"Cluster_220",6,53,9,29,53,18
"Cluster_221",10,69,8,48,56,20
"Cluster_222",26,70,3,56,106,39
"Cluster_223",12,22,18,26,64,23
"Cluster_224",4,9,0,20,6,42
"Cluster_225",12,11,10,3,29,2
"Cluster_226",5,11,5,6,5,4
"Cluster_227",7,16,2,8,11,3
"Cluster_228",6,23,4,11,10,4
"Cluster_229",12,25,6,15,44,5
"Cluster_230",6,19,0,18,23,7
"Cluster_231",15,51,3,29,54,16
"Cluster_232",14,32,4,41,36,13
"Cluster_233",2,20,0,14,26,10
"Cluster_234",2,43,2,25,37,22
"Cluster_235",12,70,8,26,40,25
"Cluster_236",3,18,3,8,14,4
"Cluster_237",17,28,6,14,27,12
"Cluster_238",43,113,14,65,58,39
"Cluster_239",27,53,12,29,34,27
"Cluster_240",11,34,15,18,31,24
"Cluster_241",12,50,4,34,29,16
"Cluster_242",6,27,5,6,8,7
"Cluster_243",4,11,2,17,38,12
"Cluster_244",4,13,0,11,19,7
"Cluster_245",14,50,4,34,75,23
"Cluster_246",8,11,0,27,85,20
"Cluster_247",19,27,4,31,95,23
"Cluster_248",9,21,1,17,29,24
"Cluster_249",27,129,5,106,255,91
"Cluster_250",4,14,0,16,35,8
"Cluster_251",20,15,9,10,20,4
"Cluster_252",5,41,7,11,21,11
"Cluster_253",29,89,4,30,59,27
"Cluster_254",9,12,4,12,10,10
"Cluster_255",1,17,0,4,5,5
"Cluster_256",11,33,9,14,14,8
"Cluster_257",2,15,2,8,17,5
"Cluster_258",9,78,8,39,84,30
"Cluster_259",8,60,1,44,157,49
"Cluster_260",16,50,3,24,39,8
"Cluster_261",63,365,15,154,251,98
"Cluster_262",10,15,2,9,8,4
"Cluster_263",6,22,1,15,30,16
"Cluster_264",7,12,2,5,23,11
"Cluster_265",6,14,0,10,17,2
"Cluster_266",3,12,1,5,9,7
"Cluster_267",9,14,1,6,20,3
"Cluster_268",24,102,2,53,106,49
"Cluster_269",10,35,1,26,60,32
"Cluster_270",34,84,6,65,78,50
"Cluster_271",31,82,7,29,50,25
"Cluster_272",11,20,5,13,22,11
"Cluster_273",10,28,4,10,20,19
"Cluster_274",5,38,6,17,39,21
"Cluster_275",23,100,8,40,152,52
"Cluster_276",4,29,1,21,39,8
"Cluster_277",6,24,1,15,44,22
"Cluster_278",17,61,11,45,66,47
"Cluster_279",1,20,2,6,6,4
"Cluster_280",71,192,39,103,143,77
"Cluster_281",16,65,7,27,86,13
"Cluster_282",5,9,2,2,3,2
"Cluster_283",1,13,2,1,9,5
"Cluster_284",3,21,1,6,5,3
"Cluster_285",3,15,2,6,15,6
"Cluster_286",8,15,1,7,17,3
"Cluster_287",5,34,1,9,22,8
"Cluster_288",7,22,0,6,22,6
"Cluster_289",27,7,0,15,87,51
"Cluster_290",5,11,0,12,30,10
"Cluster_291",5,39,5,10,16,8
"Cluster_292",0,17,0,5,11,1
"Cluster_293",5,11,2,4,16,4
"Cluster_294",9,43,1,27,85,24
"Cluster_295",3,14,0,10,24,8
"Cluster_296",23,23,7,31,63,33
"Cluster_297",26,71,19,107,118,89
"Cluster_298",6,9,0,7,21,19
"Cluster_299",8,9,2,4,5,6
"Cluster_300",18,21,12,24,30,25
"Cluster_301",20,27,0,24,26,29
"Cluster_302",5,7,5,8,5,10
"Cluster_303",6,7,4,6,3,2
"Cluster_304",249,1113,250,569,1325,472
"Cluster_305",74,98,53,68,102,75
"Cluster_306",6,7,4,16,3,13
"Cluster_307",9,4,4,5,10,4
"Cluster_308",10,14,4,4,6,2
"Cluster_309",7,17,5,5,85,14
"Cluster_310",6,18,3,9,15,10
"Cluster_311",5,13,3,10,17,5
"Cluster_312",3,16,2,10,6,5
"Cluster_313",7,28,12,12,23,8
"Cluster_314",3,18,0,14,33,15
"Cluster_315",12,24,5,22,31,18
"Cluster_316",9,30,7,16,69,14
"Cluster_317",11,18,4,13,19,12
"Cluster_318",6,13,1,12,17,2
"Cluster_319",6,34,6,11,18,11
"Cluster_320",42,173,32,89,218,67
"Cluster_321",102,159,55,80,92,56
"Cluster_322",6,15,5,4,12,6
"Cluster_323",2,15,1,8,9,3
"Cluster_324",3,27,7,15,31,8
"Cluster_325",8,59,4,55,70,23
"Cluster_326",4,14,0,4,8,2
"Cluster_327",4,27,4,24,30,11
"Cluster_328",41,212,14,118,279,118
"Cluster_329",15,26,4,20,16,6
"Cluster_330",7,48,2,22,55,18
"Cluster_331",17,57,4,42,54,20
"Cluster_332",18,28,3,27,64,28
"Cluster_333",11,23,2,6,25,7
"Cluster_334",260,246,90,156,155,151
"Cluster_335",20,17,12,28,19,20
"Cluster_336",2,14,0,4,6,8
"Cluster_337",16,46,3,33,33,19
"Cluster_338",13,81,10,34,50,18
"Cluster_339",8,13,2,17,18,10
"Cluster_340",8,47,5,6,7,3
"Cluster_341",39,217,13,33,33,34
"Cluster_342",2002,1914,202,5709,13508,0
"Cluster_343",19,99,17,85,181,61
"Cluster_344",5,46,4,31,54,15
"Cluster_345",4,12,1,5,9,3
"Cluster_346",2,18,2,5,21,7
"Cluster_347",1,15,0,10,13,5
"Cluster_348",11,43,10,28,47,14
"Cluster_349",54,131,65,79,222,59
"Cluster_350",2,10,2,8,7,10
"Cluster_351",10,47,5,32,53,15
"Cluster_352",6,44,4,27,47,13
"Cluster_353",8,24,20,38,189,49
"Cluster_354",3,20,2,15,32,14
"Cluster_355",2,14,1,9,14,7
"Cluster_356",13,56,5,39,39,19
"Cluster_357",13,40,6,20,71,28
"Cluster_358",8,17,3,14,16,5
"Cluster_359",1,32,10,24,134,26
"Cluster_360",4,18,3,10,6,5
"Cluster_361",8,25,2,7,24,5
"Cluster_362",6,22,1,7,22,5
"Cluster_363",6,8,9,9,35,7
"Cluster_364",3,12,2,8,16,6
"Cluster_365",10,28,1,17,18,12
"Cluster_366",16,59,6,38,47,20
"Cluster_367",5,11,0,5,12,5
"Cluster_368",5,31,4,15,47,24
"Cluster_369",4,18,3,9,16,7
"Cluster_370",40,184,23,113,196,81
"Cluster_371",6,15,2,18,17,8
"Cluster_372",250,461,99,887,148,236
"Cluster_373",491,1048,212,350,5700,1370
"Cluster_374",5,17,0,38,9,3
"Cluster_375",8,13,3,18,33,10
"Cluster_376",5,13,0,12,27,8
"Cluster_377",134,187,3,53,494,69
"Cluster_378",11,55,3,22,41,10
"Cluster_379",52,232,16,77,241,60
"Cluster_380",9,15,4,3,14,5
"Cluster_381",13,30,2,10,35,6
"Cluster_382",16,29,0,14,227,30
"Cluster_383",10,37,2,19,40,18
"Cluster_384",138,505,50,252,584,168
"Cluster_385",14,38,4,28,68,21
"Cluster_386",2,37,2,14,36,11
"Cluster_387",5,19,4,3,18,6
"Cluster_388",6,28,3,14,40,8
"Cluster_389",27,118,8,42,73,21
"Cluster_390",10,51,3,7,15,7
"Cluster_391",53,131,17,88,210,72
"Cluster_392",12,62,5,47,73,29
"Cluster_393",36,136,12,106,195,89
"Cluster_394",7,24,2,8,11,10
"Cluster_395",12,50,2,28,93,49
"Cluster_396",4,14,0,6,19,4
"Cluster_397",227,796,13,519,259,385
"Cluster_398",26,63,7,47,252,24
"Cluster_399",11,52,9,17,58,13
"Cluster_400",37,127,7,52,60,35
"Cluster_401",8,51,4,11,20,12
"Cluster_402",22,166,9,49,66,21
"Cluster_403",57,356,20,97,193,70
"Cluster_404",51,82,98,39,2713,230
"Cluster_405",6,31,6,2,3,5
"Cluster_406",4,21,2,4,4,1
"Cluster_407",5,24,0,0,1,5
"Cluster_408",4,19,1,1,0,0
"Cluster_409",21,39,8,15,27,13
"Cluster_410",37,109,15,35,72,29
"Cluster_411",20,21,5,18,32,8
"Cluster_412",16,49,13,38,37,24
"Cluster_413",12,76,8,74,152,54
"Cluster_414",5,119,8,114,233,91
"Cluster_415",37,178,43,28,54,23
"Cluster_416",7,12,4,4,3,1
"Cluster_417",13,15,11,1,7,5
"Cluster_418",26,67,11,65,75,30
"Cluster_419",15,22,2,11,13,11
"Cluster_420",71,204,13,189,268,122
"Cluster_421",12,12,3,16,26,10
"Cluster_422",4,12,1,11,18,9
"Cluster_423",2,15,0,1,11,4
"Cluster_424",23,48,18,17,24,15
"Cluster_425",12,53,8,20,30,16
"Cluster_426",2,19,1,8,25,12
"Cluster_427",1,23,9,6,23,7
"Cluster_428",1,17,0,14,20,4
"Cluster_429",0,22,1,12,21,5
"Cluster_430",2,29,0,14,17,15
"Cluster_431",10,12,1,2,7,3
"Cluster_432",6,27,3,11,17,10
"Cluster_433",2,18,0,12,7,6
"Cluster_434",4,35,2,19,20,10
"Cluster_435",4,32,1,7,19,7
"Cluster_436",1,14,1,5,6,2
"Cluster_437",1,22,0,5,12,6
"Cluster_438",2,21,0,9,12,4
"Cluster_439",4,23,2,1,6,4
"Cluster_440",14,34,12,9,22,9
