"","97.bam","105.bam","113.bam","93.bam","101.bam","109.bam"
"Cluster_3864",6,12,8,4,9,4
"Cluster_3865",12,50,4,39,89,24
"Cluster_3866",8,17,8,5,10,5
"Cluster_3867",24,106,16,65,108,38
"Cluster_3868",7,13,2,5,8,2
"Cluster_3869",3,13,3,2,7,2
"Cluster_3870",68,231,35,105,221,74
"Cluster_3871",5,27,1,11,17,13
"Cluster_3872",10,16,4,11,21,10
"Cluster_3873",9,23,3,37,34,16
"Cluster_3874",6,39,6,18,30,8
"Cluster_3875",7,23,1,12,22,11
"Cluster_3876",166,310,37,121,214,83
"Cluster_3877",136,451,78,92,118,44
"Cluster_3878",9,19,3,16,21,6
"Cluster_3879",44,127,13,75,83,46
"Cluster_3880",23,114,5,45,116,27
"Cluster_3881",77,134,46,65,72,50
"Cluster_3882",10,29,2,6,19,9
"Cluster_3883",0,13,1,1,3,2
"Cluster_3884",14,19,2,2,6,6
"Cluster_3885",8,46,6,14,42,8
"Cluster_3886",10,46,6,29,59,11
"Cluster_3887",48,126,29,35,95,34
"Cluster_3888",8,19,3,11,8,4
"Cluster_3889",3,19,0,10,18,10
"Cluster_3890",6,22,8,16,20,7
"Cluster_3891",6,20,3,9,8,6
"Cluster_3892",3,15,3,14,14,4
"Cluster_3893",3,12,2,4,9,4
"Cluster_3894",5,28,3,13,23,11
"Cluster_3895",6,65,2,41,52,32
"Cluster_3896",7,43,6,9,49,17
"Cluster_3897",348,221,271,159,2405,435
"Cluster_3898",20,67,22,22,31,21
"Cluster_3899",5,93,8,1,6,4
"Cluster_3900",8,27,0,13,27,13
"Cluster_3901",12,56,8,23,22,14
"Cluster_3902",14,23,5,16,15,7
"Cluster_3903",7,8,0,6,11,9
"Cluster_3904",9,18,1,16,9,4
"Cluster_3905",6,21,3,16,32,13
"Cluster_3906",7,12,0,16,14,23
"Cluster_3907",47,147,15,76,172,81
"Cluster_3908",6,46,2,18,29,7
"Cluster_3909",3,16,0,6,13,7
"Cluster_3910",20,65,3,36,67,29
"Cluster_3911",43,125,29,101,160,58
"Cluster_3912",24,106,10,168,275,128
"Cluster_3913",14,82,11,110,159,93
"Cluster_3914",6,16,1,6,16,7
"Cluster_3915",12,54,9,21,33,22
"Cluster_3916",5,14,1,4,14,5
"Cluster_3917",2,10,4,5,7,1
"Cluster_3918",5,30,6,7,18,8
"Cluster_3919",36,111,5,111,385,64
"Cluster_3920",35,166,6,104,154,67
"Cluster_3921",14,147,8,46,130,40
"Cluster_3922",11,14,0,6,105,44
"Cluster_3923",3,18,0,5,15,5
"Cluster_3924",35,168,15,87,153,85
"Cluster_3925",4,9,4,1,14,7
"Cluster_3926",7066,14955,449,42060,39290,20414
"Cluster_3927",8,16,7,6,17,7
"Cluster_3928",9,36,8,14,37,10
"Cluster_3929",1,33,0,9,17,5
"Cluster_3930",0,30,0,20,31,8
"Cluster_3931",21,53,9,30,56,25
"Cluster_3932",114,479,53,403,982,306
"Cluster_3933",22,50,23,29,66,16
"Cluster_3934",26,118,13,69,141,71
"Cluster_3935",26,88,5,81,143,50
"Cluster_3936",32,87,8,77,94,50
"Cluster_3937",4,12,2,14,37,13
"Cluster_3938",81,148,33,41,45,27
"Cluster_3939",534,1791,168,250,242,205
"Cluster_3940",887,3878,166,443,608,316
"Cluster_3941",10,19,3,20,25,13
"Cluster_3942",9,12,2,14,7,11
"Cluster_3943",62,222,42,151,208,92
"Cluster_3944",0,16,2,3,6,3
"Cluster_3945",5,11,1,5,11,5
"Cluster_3946",27,129,16,62,94,47
"Cluster_3947",4,22,1,10,18,10
"Cluster_3948",18,60,6,29,78,23
"Cluster_3949",19,132,11,69,170,67
"Cluster_3950",16,76,20,42,79,27
"Cluster_3951",12,65,11,30,47,18
"Cluster_3952",1,11,1,5,7,3
"Cluster_3953",9,38,5,25,40,17
"Cluster_3954",12,46,2,38,80,25
"Cluster_3955",16,64,17,56,139,50
"Cluster_3956",16,38,5,33,84,17
"Cluster_3957",8,35,1,33,59,25
"Cluster_3958",31,143,20,108,251,77
"Cluster_3959",5,18,1,18,43,12
"Cluster_3960",5,32,8,20,26,13
"Cluster_3961",34,141,40,55,929,96
"Cluster_3962",294,102,240,82,522,92
"Cluster_3963",81,349,47,191,252,106
"Cluster_3964",22,71,5,44,82,27
"Cluster_3965",8,33,8,9,15,8
"Cluster_3966",78,375,46,187,579,210
"Cluster_3967",8,45,1,24,21,5
"Cluster_3968",52,127,14,54,80,42
"Cluster_3969",3,12,2,2,9,1
"Cluster_3970",4,49,11,36,38,25
"Cluster_3971",47,253,14,132,296,98
"Cluster_3972",22,147,4,79,161,54
"Cluster_3973",5,17,0,9,10,1
"Cluster_3974",9,45,0,23,63,13
"Cluster_3975",10,31,2,25,61,34
"Cluster_3976",10,31,5,18,31,9
"Cluster_3977",4,15,1,3,18,9
"Cluster_3978",13,95,6,43,68,39
"Cluster_3979",16,119,30,87,197,62
"Cluster_3980",31,181,17,113,157,76
"Cluster_3981",7,26,3,14,20,11
"Cluster_3982",16,68,16,29,80,18
"Cluster_3983",20,32,15,7,16,4
"Cluster_3984",6,10,2,8,28,9
"Cluster_3985",0,16,2,4,14,8
"Cluster_3986",9,14,0,24,12,9
"Cluster_3987",67,86,14,41,192,46
"Cluster_3988",13336,52792,2063,84346,84067,38553
"Cluster_3989",3,11,2,2,9,8
"Cluster_3990",3,25,3,9,13,5
"Cluster_3991",3,13,3,7,5,0
"Cluster_3992",8,29,1,27,37,16
"Cluster_3993",6,10,1,4,9,4
"Cluster_3994",2,16,3,3,11,2
"Cluster_3995",8,47,2,27,23,19
"Cluster_3996",17,47,7,24,63,15
"Cluster_3997",10,28,2,10,34,10
"Cluster_3998",21,55,19,19,71,18
"Cluster_3999",68,233,33,158,201,85
"Cluster_4000",10,32,1,31,49,20
"Cluster_4001",10,42,6,31,49,10
"Cluster_4002",6,34,0,16,25,16
"Cluster_4003",14,35,26,30,36,22
"Cluster_4004",7,25,2,13,20,6
"Cluster_4005",5,9,2,1,9,5
"Cluster_4006",2,13,3,1,6,2
"Cluster_4007",9,12,7,14,15,12
"Cluster_4008",8,12,6,0,5,2
"Cluster_4009",6,34,12,35,500,35
"Cluster_4010",56,134,22,150,254,105
"Cluster_4011",4,22,0,14,19,9
"Cluster_4012",7,36,0,18,68,15
"Cluster_4013",4,11,3,5,16,4
"Cluster_4014",6,16,1,21,20,8
"Cluster_4015",3,17,2,7,15,10
"Cluster_4016",5,13,4,6,17,2
"Cluster_4017",2,29,4,20,38,13
"Cluster_4018",8,18,7,18,27,8
"Cluster_4019",5,26,3,55,88,39
"Cluster_4020",14,23,26,23,42,15
"Cluster_4021",5,29,3,34,56,17
"Cluster_4022",14,31,5,27,34,27
"Cluster_4023",7,13,2,291,704,197
"Cluster_4024",6,8,2,177,505,143
"Cluster_4025",6,14,0,6,15,3
"Cluster_4026",2,14,0,8,1,2
"Cluster_4027",4,26,3,7,14,9
"Cluster_4028",10,53,6,29,27,20
"Cluster_4029",0,42,0,20,18,10
"Cluster_4030",8,73,2,33,41,21
"Cluster_4031",3,24,5,11,7,8
"Cluster_4032",25,47,10,147,273,122
"Cluster_4033",80,232,30,583,933,397
"Cluster_4034",13,65,3,25,56,23
"Cluster_4035",4,12,0,8,12,5
"Cluster_4036",11,46,12,19,41,20
"Cluster_4037",16,70,10,50,68,35
"Cluster_4038",5,11,5,5,12,5
"Cluster_4039",8,23,1,12,6,2
"Cluster_4040",30,87,4,40,89,42
"Cluster_4041",4,15,0,12,12,7
"Cluster_4042",13,117,8,74,137,50
"Cluster_4043",10,32,5,21,24,12
"Cluster_4044",5,16,2,5,8,1
"Cluster_4045",9,10,7,1,6,4
"Cluster_4046",12,27,7,12,20,9
"Cluster_4047",8,57,9,29,30,20
"Cluster_4048",2,25,4,17,15,6
"Cluster_4049",25,38,6,51,73,40
"Cluster_4050",92,186,39,149,230,136
"Cluster_4051",8,22,2,13,35,14
"Cluster_4052",7,47,4,26,56,28
"Cluster_4053",3,12,0,9,11,10
"Cluster_4054",11,80,6,39,51,39
"Cluster_4055",5,22,5,6,4,4
"Cluster_4056",4,11,1,1,5,1
"Cluster_4057",17,48,5,33,32,19
"Cluster_4058",2,11,3,1,10,1
"Cluster_4059",5,20,1,5,12,3
"Cluster_4060",12,38,3,10,19,11
"Cluster_4061",64,180,12,127,81,91
"Cluster_4062",8,18,0,7,16,11
"Cluster_4063",8,25,1,12,12,8
"Cluster_4064",4,17,1,8,15,2
"Cluster_4065",12,22,3,7,15,7
"Cluster_4066",7,13,1,5,17,3
"Cluster_4067",117,44,112,8,111,22
"Cluster_4068",3,4,22,3,0,0
"Cluster_4069",12,20,33,7,19,6
"Cluster_4070",5,13,4,9,10,4
"Cluster_4071",7,11,0,16,13,9
"Cluster_4072",23,42,6,38,93,38
"Cluster_4073",6,10,1,15,10,4
"Cluster_4074",11,44,6,39,95,28
"Cluster_4075",27,103,13,157,244,102
"Cluster_4076",18,108,7,57,89,58
"Cluster_4077",12,56,11,32,44,31
"Cluster_4078",40,75,38,42,139,59
"Cluster_4079",3,14,0,5,3,2
"Cluster_4080",50,151,14,132,168,82
"Cluster_4081",0,29,2,0,42,22
"Cluster_4082",32,80,8,31,55,20
"Cluster_4083",70,353,14,240,302,141
"Cluster_4084",12,63,9,50,102,41
"Cluster_4085",3,22,3,20,27,16
"Cluster_4086",5,12,0,14,11,11
"Cluster_4087",5,23,1,5,6,4
"Cluster_4088",17,55,14,16,16,22
"Cluster_4089",4,13,1,8,1,2
"Cluster_4090",45,115,10,223,465,134
"Cluster_4091",59,223,12,327,519,205
"Cluster_4092",9,14,6,13,17,8
"Cluster_4093",14,97,12,50,82,37
"Cluster_4094",18,91,14,65,89,54
"Cluster_4095",25,103,23,33,57,22
"Cluster_4096",2,15,4,14,17,7
"Cluster_4097",2,11,0,7,14,5
"Cluster_4098",39,99,6,132,197,83
"Cluster_4099",8,27,1,18,22,13
"Cluster_4100",1,15,2,8,9,9
"Cluster_4101",2,13,2,10,11,4
"Cluster_4102",5,36,8,27,38,21
"Cluster_4103",18,42,1,21,18,18
"Cluster_4104",0,23,27,22,43,0
"Cluster_4105",2,14,2,6,15,12
"Cluster_4106",61,351,44,123,213,86
"Cluster_4107",7,2,12,4,16,3
"Cluster_4108",24,54,3,20,18,14
"Cluster_4109",14,21,4,11,16,10
"Cluster_4110",73,228,30,36,51,37
"Cluster_4111",8,22,5,14,24,11
"Cluster_4112",11,31,3,10,22,11
"Cluster_4113",7,16,0,9,13,7
"Cluster_4114",8,5,6,5,9,6
"Cluster_4115",14,8,2,6,17,5
"Cluster_4116",158,365,66,333,458,223
"Cluster_4117",13,4,0,3,10,13
"Cluster_4118",30,77,9,26,28,11
"Cluster_4119",22,20,10,30,24,16
"Cluster_4120",22,16,4,15,9,9
"Cluster_4121",5,8,5,6,6,8
"Cluster_4122",6,18,2,15,13,4
"Cluster_4123",56,92,20,91,139,83
"Cluster_4124",54,99,7,80,114,51
"Cluster_4125",6,25,1,20,41,14
"Cluster_4126",29,55,9,41,50,17
"Cluster_4127",8,32,5,22,35,8
"Cluster_4128",5,33,2,38,43,14
"Cluster_4129",122,241,32,245,512,181
"Cluster_4130",10,9,0,4,10,6
"Cluster_4131",4,10,1,4,6,9
"Cluster_4132",42,94,6,59,91,49
"Cluster_4133",15,44,7,43,52,19
"Cluster_4134",24,122,12,70,141,67
"Cluster_4135",14,72,10,23,88,27
"Cluster_4136",7,24,2,16,46,8
"Cluster_4137",6,15,2,7,12,9
"Cluster_4138",6,43,11,17,30,12
"Cluster_4139",4,14,0,5,10,3
"Cluster_4140",18,38,5,11,26,7
"Cluster_4141",21,46,4,110,158,64
"Cluster_4142",36,138,11,216,434,153
"Cluster_4143",13,27,1,17,25,12
"Cluster_4144",19,58,12,34,64,35
"Cluster_4145",42,131,6,104,238,72
"Cluster_4146",9,5,5,10,7,2
"Cluster_4147",15,16,13,7,11,7
"Cluster_4148",5,15,3,11,18,4
"Cluster_4149",8,27,3,22,58,16
"Cluster_4150",10,89,8,59,112,47
"Cluster_4151",3,29,9,10,14,6
"Cluster_4152",2,15,1,14,17,3
"Cluster_4153",1,19,4,13,22,11
"Cluster_4154",9,21,15,11,16,5
"Cluster_4155",20,82,8,41,73,35
"Cluster_4156",3,49,1,30,39,19
"Cluster_4157",14,61,7,46,121,56
"Cluster_4158",14,54,7,59,75,42
"Cluster_4159",1,16,1,18,27,5
"Cluster_4160",3,9,4,23,46,14
"Cluster_4161",9,37,9,27,40,26
"Cluster_4162",3,16,2,9,15,2
"Cluster_4163",10,35,6,14,41,23
"Cluster_4164",50,189,14,92,167,53
"Cluster_4165",14,21,9,13,14,4
"Cluster_4166",4,12,1,5,11,5
"Cluster_4167",8,13,0,34,69,9
"Cluster_4168",38,108,8,93,186,67
"Cluster_4169",5,21,0,20,64,20
"Cluster_4170",2,10,3,13,11,13
"Cluster_4171",3,19,1,35,49,18
"Cluster_4172",24,21,3,162,88,102
"Cluster_4173",676,1454,252,1599,1106,812
"Cluster_4174",4,16,4,3,11,4
"Cluster_4175",16,14,5,5,125,7
"Cluster_4176",7,13,3,14,39,12
"Cluster_4177",52,214,13,87,134,60
"Cluster_4178",16,19,14,6,63,4
"Cluster_4179",7,19,0,20,44,15
"Cluster_4180",8,10,0,27,30,11
"Cluster_4181",241,1211,100,1219,2143,814
"Cluster_4182",6,10,2,8,11,9
"Cluster_4183",12,53,4,20,41,13
"Cluster_4184",1,17,2,7,3,8
"Cluster_4185",4,14,1,8,6,9
"Cluster_4186",11,43,4,21,57,25
"Cluster_4187",8,15,0,9,14,6
"Cluster_4188",12,41,1,31,49,24
"Cluster_4189",1,16,4,5,19,7
"Cluster_4190",6,31,5,11,17,7
"Cluster_4191",8,22,5,13,25,7
"Cluster_4192",2,20,0,12,17,8
"Cluster_4193",4,17,3,1,17,3
"Cluster_4194",91,310,44,71,113,64
"Cluster_4195",20,87,11,73,141,40
"Cluster_4196",15,64,7,71,92,38
"Cluster_4197",25,125,15,71,139,62
"Cluster_4198",42,122,22,99,181,62
"Cluster_4199",116,512,36,366,618,288
"Cluster_4200",2,16,2,14,14,7
"Cluster_4201",220,891,215,409,3254,1092
"Cluster_4202",0,32,3,8,12,3
"Cluster_4203",4,112,3,31,174,42
"Cluster_4204",23,73,7,38,71,26
"Cluster_4205",13,16,3,7,5,7
"Cluster_4206",4,17,26,4,30,19
"Cluster_4207",7,78,3,50,71,40
"Cluster_4208",10,76,3,34,62,30
"Cluster_4209",19,142,2,73,133,43
"Cluster_4210",16,69,10,35,74,39
"Cluster_4211",19,42,3,88,124,61
"Cluster_4212",8,34,2,48,114,50
"Cluster_4213",13,57,7,112,150,64
"Cluster_4214",3,18,2,41,38,22
"Cluster_4215",7,17,2,12,22,7
"Cluster_4216",3,22,3,19,19,3
"Cluster_4217",9,7,7,6,9,3
"Cluster_4218",10,9,0,8,14,6
"Cluster_4219",2,11,3,13,9,3
"Cluster_4220",9,22,3,8,17,11
"Cluster_4221",11,29,6,13,36,12
"Cluster_4222",2,29,7,16,32,10
"Cluster_4223",6,17,6,15,21,17
"Cluster_4224",45,67,14,42,40,34
"Cluster_4225",12,11,2,1,5,2
"Cluster_4226",2,43,1,5,4,2
"Cluster_4227",28,68,16,23,37,14
"Cluster_4228",48,132,13,95,131,77
"Cluster_4229",13,46,8,39,43,23
"Cluster_4230",4,11,0,12,8,2
"Cluster_4231",4,29,7,4,34,9
"Cluster_4232",7,26,4,11,11,5
"Cluster_4233",3,41,2,9,26,7
"Cluster_4234",19,78,3,31,48,32
"Cluster_4235",9,15,2,10,24,8
"Cluster_4236",15,8,2,4,7,2
"Cluster_4237",2,9,6,9,7,6
"Cluster_4238",24,34,9,9,34,14
"Cluster_4239",2,16,0,7,20,8
"Cluster_4240",1,17,2,7,4,6
"Cluster_4241",0,42,71,0,119,52
"Cluster_4242",8,8,0,3,4,2
"Cluster_4243",12,17,6,9,7,6
"Cluster_4244",37,95,19,111,161,62
"Cluster_4245",5,14,1,9,17,8
"Cluster_4246",15,23,2,14,14,15
"Cluster_4247",3,13,0,5,10,6
"Cluster_4248",9,15,2,23,31,17
"Cluster_4249",37,69,26,59,85,52
"Cluster_4250",3,19,0,19,30,18
"Cluster_4251",3,19,1,8,22,7
"Cluster_4252",13,57,3,46,61,22
"Cluster_4253",1,16,2,20,24,17
"Cluster_4254",14,52,4,28,18,11
"Cluster_4255",5,21,2,9,13,10
"Cluster_4256",5,22,0,0,25,13
"Cluster_4257",12,41,7,28,25,15
"Cluster_4258",15,29,3,23,38,15
"Cluster_4259",38,142,11,29,86,27
"Cluster_4260",7,25,2,6,5,5
"Cluster_4261",5,48,8,13,12,10
"Cluster_4262",2,19,1,8,4,3
"Cluster_4263",4,12,2,3,13,1
"Cluster_4264",1043,2716,366,1192,6787,2068
"Cluster_4265",5,11,2,13,10,5
"Cluster_4266",22,29,4,28,31,27
"Cluster_4267",8,12,2,8,7,4
"Cluster_4268",7,9,16,11,15,7
"Cluster_4269",1,19,4,8,17,9
"Cluster_4270",47,218,17,122,217,118
"Cluster_4271",9,34,0,16,33,18
"Cluster_4272",103,483,59,373,691,326
"Cluster_4273",3,22,2,16,28,8
"Cluster_4274",22,54,10,33,71,30
"Cluster_4275",6,17,3,10,16,4
"Cluster_4276",9,12,1,28,44,16
"Cluster_4277",8,24,6,22,60,28
"Cluster_4278",21,59,2,70,155,45
"Cluster_4279",3,18,0,20,15,23
"Cluster_4280",21,55,4,102,179,70
"Cluster_4281",7,11,1,7,16,8
"Cluster_4282",3,19,0,7,17,6
"Cluster_4283",4,38,3,21,38,13
"Cluster_4284",8,14,2,9,10,6
"Cluster_4285",3,15,1,4,6,3
"Cluster_4286",22,73,0,33,69,24
"Cluster_4287",2,12,2,6,9,4
"Cluster_4288",12,21,6,24,40,9
"Cluster_4289",1,65,2,1,18,9
"Cluster_4290",11,8,4,1,6,3
"Cluster_4291",50,157,12,156,328,85
"Cluster_4292",38,33,8,82,92,51
"Cluster_4293",14,29,0,65,124,50
"Cluster_4294",29,22,2,81,185,85
"Cluster_4295",33,50,8,64,136,48
"Cluster_4296",4,12,1,4,1,5
"Cluster_4297",15,26,4,10,18,4
"Cluster_4298",57,69,5,54,31,33
"Cluster_4299",29,77,8,58,82,34
"Cluster_4300",110,340,61,162,277,142
"Cluster_4301",5,30,6,16,21,9
"Cluster_4302",7,18,2,8,12,11
"Cluster_4303",13,17,2,6,9,15
"Cluster_4304",31,20,7,27,59,40
"Cluster_4305",10,12,1,6,4,10
"Cluster_4306",20,1,1,11,2,12
"Cluster_4307",15,18,4,13,9,19
"Cluster_4308",45,64,16,47,72,46
"Cluster_4309",65,98,15,76,127,68
"Cluster_4310",12,7,3,3,7,7
"Cluster_4311",37,18,2,11,10,12
"Cluster_4312",20,34,14,16,13,18
"Cluster_4313",6,38,5,20,26,15
"Cluster_4314",279,798,95,427,722,300
"Cluster_4315",5,30,0,13,18,9
"Cluster_4316",36,85,17,83,149,46
"Cluster_4317",17,78,10,57,74,42
"Cluster_4318",6,20,9,5,12,4
"Cluster_4319",5,23,2,11,17,18
"Cluster_4320",7,70,5,41,52,28
"Cluster_4321",27,113,14,71,93,55
"Cluster_4322",21,67,6,37,39,29
"Cluster_4323",6,66,6,73,114,90
"Cluster_4324",5,29,2,15,22,9
"Cluster_4325",13,51,5,25,48,23
"Cluster_4326",3,50,2,42,53,23
"Cluster_4327",39,205,18,140,258,89
"Cluster_4328",1,15,0,14,16,9
"Cluster_4329",25,80,13,36,90,22
"Cluster_4330",12,34,6,10,45,4
"Cluster_4331",14,58,12,47,89,27
"Cluster_4332",3,29,4,19,31,8
"Cluster_4333",4,21,3,14,38,13
"Cluster_4334",11,27,8,19,16,10
"Cluster_4335",10,26,5,17,40,17
"Cluster_4336",6,14,0,10,14,9
"Cluster_4337",11,63,13,57,83,34
"Cluster_4338",16,54,6,55,406,84
"Cluster_4339",5,21,5,25,29,11
"Cluster_4340",4,34,1,33,58,22
"Cluster_4341",31,138,13,145,235,87
"Cluster_4342",4,40,1,20,41,16
"Cluster_4343",276,294,164,135,1456,260
"Cluster_4344",11,18,6,16,22,11
"Cluster_4345",2,20,1,11,13,8
"Cluster_4346",19,33,3,12,24,15
"Cluster_4347",11,10,1,14,3,5
"Cluster_4348",11,4,1,10,4,3
"Cluster_4349",16,50,3,5,12,1
"Cluster_4350",2,22,3,3,6,7
"Cluster_4351",4,17,0,7,8,6
"Cluster_4352",5,16,3,8,10,7
"Cluster_4353",6,22,0,7,9,8
"Cluster_4354",11,35,10,35,45,22
"Cluster_4355",39,162,18,161,302,124
"Cluster_4356",15,84,11,50,82,30
"Cluster_4357",18,63,7,28,38,23
"Cluster_4358",37,83,27,34,64,42
"Cluster_4359",7,12,2,7,12,4
"Cluster_4360",5,19,4,20,44,13
"Cluster_4361",2,12,2,18,25,7
"Cluster_4362",1,16,0,20,37,19
"Cluster_4363",14,81,16,83,171,60
"Cluster_4364",9,26,2,24,32,11
"Cluster_4365",69,278,26,144,250,117
"Cluster_4366",10,24,2,15,42,11
"Cluster_4367",7,34,4,16,30,16
"Cluster_4368",16,38,7,22,36,11
"Cluster_4369",3,14,1,14,13,6
"Cluster_4370",6,36,5,16,26,13
"Cluster_4371",0,20,3,15,21,13
"Cluster_4372",4,24,0,11,39,8
"Cluster_4373",4,21,1,15,30,14
"Cluster_4374",4,18,3,11,25,13
"Cluster_4375",3,21,2,10,18,12
"Cluster_4376",12,33,3,11,25,14
"Cluster_4377",6,8,4,0,3,1
"Cluster_4378",170,536,24,430,1225,353
"Cluster_4379",58,232,36,68,93,44
"Cluster_4380",284,605,69,355,632,303
"Cluster_4381",407,1865,185,1015,1609,747
"Cluster_4382",9,9,2,1,1,4
"Cluster_4383",7,14,0,4,8,4
"Cluster_4384",6,21,4,8,7,8
"Cluster_4385",32,38,24,49,51,32
"Cluster_4386",10,26,7,10,14,14
"Cluster_4387",10,37,4,19,30,7
"Cluster_4388",35,166,12,63,121,60
"Cluster_4389",21,104,15,34,64,27
"Cluster_4390",15,35,1,20,35,13
"Cluster_4391",96,306,34,181,328,125
"Cluster_4392",5,31,3,11,20,4
"Cluster_4393",5,27,2,5,6,5
"Cluster_4394",22,75,4,30,51,27
"Cluster_4395",19,27,3,5,7,3
"Cluster_4396",4,15,0,4,2,4
"Cluster_4397",17,75,10,77,65,44
"Cluster_4398",8,65,17,51,95,27
"Cluster_4399",60,307,11,327,487,215
"Cluster_4400",16,34,10,8,14,9
"Cluster_4401",2,14,1,1,2,3
"Cluster_4402",62,198,25,63,131,50
"Cluster_4403",4,15,0,5,7,5
"Cluster_4404",440,5076,413,814,2261,796
"Cluster_4405",19,36,1,40,63,20
"Cluster_4406",0,16,8,29,29,17
"Cluster_4407",3,17,2,21,38,17
"Cluster_4408",4,13,5,11,19,8
"Cluster_4409",11,54,7,79,126,47
"Cluster_4410",18,24,6,24,53,13
"Cluster_4411",2,24,1,11,27,9
"Cluster_4412",7,19,5,12,18,11
"Cluster_4413",10,25,3,23,26,10
"Cluster_4414",11,30,3,22,35,29
"Cluster_4415",17,96,12,78,117,67
"Cluster_4416",5,18,3,28,44,20
"Cluster_4417",15,41,5,47,58,38
"Cluster_4418",131,460,82,154,274,141
"Cluster_4419",116,438,58,236,408,179
"Cluster_4420",47,139,13,103,134,42
"Cluster_4421",6,21,4,4,15,7
"Cluster_4422",3,12,3,7,10,6
"Cluster_4423",11,29,4,13,20,10
"Cluster_4424",3,18,1,8,19,2
"Cluster_4425",3,11,1,5,14,10
"Cluster_4426",8,20,3,8,27,5
"Cluster_4427",4,19,4,11,24,13
"Cluster_4428",3,12,1,7,19,9
"Cluster_4429",15,32,5,11,40,13
"Cluster_4430",16,21,3,13,47,6
"Cluster_4431",35,68,19,43,213,31
"Cluster_4432",202,442,136,238,537,184
"Cluster_4433",548,1611,251,860,1610,584
"Cluster_4434",9,13,0,15,13,8
"Cluster_4435",411,605,142,842,670,674
"Cluster_4436",39,76,9,84,68,48
"Cluster_4437",13,17,3,15,22,14
"Cluster_4438",2,12,6,8,17,9
"Cluster_4439",940,4738,1,6115,18202,4735
"Cluster_4440",6,20,2,9,16,7
"Cluster_4441",6,31,1,22,30,14
"Cluster_4442",3,35,2,18,25,9
"Cluster_4443",7,11,1,9,21,10
"Cluster_4444",8,66,2,38,57,23
"Cluster_4445",9,58,5,24,32,19
"Cluster_4446",4,75,64,18,77,31
"Cluster_4447",2,25,8,16,22,11
"Cluster_4448",3,14,0,4,14,3
"Cluster_4449",65,398,39,145,312,96
"Cluster_4450",38,121,40,78,154,68
"Cluster_4451",33,210,25,101,179,95
"Cluster_4452",6,11,0,2,4,3
"Cluster_4453",29,52,8,65,224,65
"Cluster_4454",28,55,4,76,126,35
"Cluster_4455",109,397,68,213,262,164
"Cluster_4456",853,1384,307,356,381,232
"Cluster_4457",2,15,2,8,7,5
"Cluster_4458",3,25,0,10,7,5
"Cluster_4459",9,35,1,14,17,5
"Cluster_4460",7,24,1,13,23,9
"Cluster_4461",891,1716,636,730,2235,713
"Cluster_4462",131,598,36,350,439,238
"Cluster_4463",1,10,5,4,4,2
"Cluster_4464",9,16,0,20,15,7
"Cluster_4465",132,300,113,173,607,159
"Cluster_4466",4,22,2,32,23,20
"Cluster_4467",6,10,1,8,30,10
"Cluster_4468",7,11,13,2,19,3
"Cluster_4469",97,11,0,177,13,89
"Cluster_4470",83,4,2,37,3,30
"Cluster_4471",279,603,348,440,1079,393
"Cluster_4472",365,1578,110,1200,1976,847
"Cluster_4473",1,15,0,13,19,5
"Cluster_4474",11,22,6,16,39,26
"Cluster_4475",7,20,2,11,13,7
"Cluster_4476",248,663,124,468,684,373
"Cluster_4477",1,10,1,7,9,2
"Cluster_4478",6,13,6,23,14,23
"Cluster_4479",14,27,2,24,24,15
"Cluster_4480",6,15,1,24,27,12
"Cluster_4481",8,9,1,12,9,6
"Cluster_4482",11,16,3,16,14,20
"Cluster_4483",164,713,90,240,363,191
"Cluster_4484",5,14,8,18,28,9
"Cluster_4485",7055,9850,6160,3059,2992,3008
"Cluster_4486",10,65,5,128,142,89
"Cluster_4487",512639,654468,74025,1855452,542455,860449
"Cluster_4488",120,382,51,179,342,137
"Cluster_4489",8,25,1,11,14,8
"Cluster_4490",5,12,2,14,27,8
"Cluster_4491",5,23,3,17,29,11
"Cluster_4492",11,29,2,28,45,16
"Cluster_4493",9,26,4,31,54,21
"Cluster_4494",12,26,3,29,40,25
"Cluster_4495",9,35,5,16,54,13
"Cluster_4496",5,11,3,8,8,1
"Cluster_4497",11,32,5,12,50,12
"Cluster_4498",94,393,60,157,253,122
"Cluster_4499",43,148,26,61,77,37
"Cluster_4500",80,353,53,121,199,86
"Cluster_4501",11,45,7,24,41,23
"Cluster_4502",1,19,0,7,13,3
"Cluster_4503",55,230,26,170,346,132
"Cluster_4504",8,44,2,28,54,20
"Cluster_4505",2,15,0,8,15,10
"Cluster_4506",5,13,0,13,16,3
"Cluster_4507",84,403,38,160,343,130
"Cluster_4508",18,128,9,53,93,29
"Cluster_4509",18,86,7,30,107,41
"Cluster_4510",4,24,2,15,43,22
"Cluster_4511",11,46,7,18,45,19
"Cluster_4512",7,10,9,9,17,8
"Cluster_4513",17,31,15,10,23,12
"Cluster_4514",5,18,5,17,50,8
"Cluster_4515",18,22,18,10,23,6
"Cluster_4516",47,169,19,131,226,71
"Cluster_4517",7,17,0,15,23,12
"Cluster_4518",10,34,4,14,19,9
"Cluster_4519",83430,118921,20086,84171,74991,55895
"Cluster_4520",7,7,4,8,19,3
"Cluster_4521",55,179,17,23,51,9
"Cluster_4522",30,50,4,37,77,35
"Cluster_4523",120,377,25,247,363,150
"Cluster_4524",17502,4951,3146,9188,1984,7235
